,0
183,43024.91202605921
184,58463.774357291426
185,28471.125105713796
186,36994.988121670154
187,30352.096110576327
188,46763.471692938394
189,36994.988121670154
190,49571.29559140796
191,36480.7585864574
192,36994.988121670154
193,36994.988121670154
194,55585.9287219293
195,58901.93762836625
196,56024.09199300411
197,56117.91210107552
198,43164.525952763426
199,40473.276215401675
200,36728.6769569636
201,62843.3895303192
202,36723.60238378907
203,35889.05020982868
204,37071.274144530726
205,29975.791712706876
206,35862.75803104167
207,49553.892821411195
208,28471.125105713796
209,37141.90768222806
210,36480.7585864574
211,22973.28402323208
212,37204.9184098846
213,59871.49853816764
214,35755.41497443523
215,55228.8016029891
216,22973.28402323208
217,29776.347006089978
218,36617.56739170952
219,37137.890652960894
220,40712.01738445809
221,29882.725681690747
222,35861.793650036
223,55258.281043553325
224,40712.01738445809
225,42782.730817101656
226,47075.57125184987
227,23159.084747457408
228,37089.33668767653
229,36979.49783515115
230,30215.87581912646
231,58509.262809338645
232,32046.58227692525
233,36939.88400882712
234,37071.274144530726
235,58509.262809338645
236,36425.65447361437
237,32101.686389768285
238,36416.564070205895
239,36617.56739170952
240,32766.65126836066
241,27848.086593638815
242,32486.028185186053
243,29786.70594129087
244,77422.38661397816
245,35774.367177409375
246,46939.26971361571
247,32479.243349522276
248,27952.071350683473
249,37071.274144530726
250,29779.921105627094
251,32911.365298519915
252,24458.305419558914
253,61038.37850453275
254,32384.075994013932
255,37214.89431354461
256,78022.21826805134
257,61357.94826057341
258,54252.16277948939
259,32527.221912407087
260,43522.54429778462
261,29827.8996685119
262,71405.16056461571
263,36881.092910712076
264,46925.03806682382
265,27958.85618634725
266,54543.60045103579
267,42623.0077415244
268,29717.180402111553
269,54568.681874120186
270,29739.417842791874
271,43464.56179450299
272,46719.03676333047
273,54660.226564914585
274,31439.845039662905
275,49238.79131486823
276,29813.74979250066
277,49269.169506633065
278,24449.539281144018
279,36869.83423348112
280,32474.7695079551
281,36515.54315053977
282,46763.471692938394
283,24428.569795223557
284,55009.392625034605
285,36526.80182777073
286,36526.80182777073
287,43522.54429778462
288,32416.502646006735
289,37071.274144530726
290,29827.8996685119
291,41259.28821691882
292,36380.21176919434
293,32749.709485811825
294,42623.0077415244
295,30050.387241916644
296,47792.85281339021
297,31587.625048132883
298,65771.38529006872
299,24711.98151716125
300,36973.320779110174
301,36889.57473041442
302,41205.51189827371
303,29949.872430015377
304,29949.872430015377
305,32649.194673910555
306,31587.625048132883
307,37540.89914035188
308,29949.872430015377
309,31587.625048132883
310,32766.65126836066
311,63364.31896053763
312,47831.46075499398
313,37589.259120617084
314,30120.940738893885
315,43522.54429778462
316,43522.54429778462
317,40776.687995595756
318,49252.66638139158
319,32527.221912407087
320,54786.81649345867
321,59878.458383974605
322,35674.0500228218
323,24506.283982443718
324,36579.086295529465
325,49306.396447939645
326,36758.59882630708
327,62185.8627517269
328,59823.98613032461
329,62185.8627517269
330,61273.90568837049
331,61273.90568837049
332,54908.83625826367
333,37629.63886834505
334,47613.03523445885
335,37646.96137680796
336,28000.049913568284
337,48354.514066831594
338,55023.624271826484
339,24605.31170594592
340,27871.767303863904
341,48780.156505402105
342,42511.217805344364
343,24626.61926886993
344,55956.96373941861
345,35400.93326803357
346,46307.29097260123
347,32375.458475781565
348,46307.29097260123
349,35400.93326803357
350,48780.156505402105
351,36324.85642699205
352,55956.96373941861
353,24605.31170594592
354,29676.136231886376
355,46394.36193478163
356,32375.458475781565
357,55956.96373941861
358,54995.349561850955
359,42511.217805344364
360,31313.88885000388
361,61841.721057105635
362,29676.136231886376
363,36298.652458518765
364,48882.71629246213
365,61189.57340555698
366,35535.77819136012
367,23813.968412686405
368,48476.535671095495
369,61189.57340555698
370,39895.90211674998
371,28989.689703021133
372,58875.20919199773
373,35544.8685947686
374,30421.42563072088
375,22181.940729972575
376,57512.97346316873
377,36318.97666058294
378,35872.657077005424
379,22181.940729972575
380,23787.434644663757
381,60277.61634220056
382,58875.20919199773
383,22181.940729972575
384,35599.97270761163
385,42524.72620569245
386,36726.9424380214
387,48476.535671095495
388,35534.36287349396
389,42524.72620569245
390,53917.70278254964
391,31509.52902452121
392,48476.535671095495
393,60277.61634220056
394,23747.453897876734
395,27116.110695979216
396,31235.756938507926
397,22181.940729972575
398,34874.62909558946
399,34493.61362116515
400,34874.62909558946
401,48483.29717714896
402,34520.1473891878
403,39831.231505612326
404,53795.683017744646
405,41901.94493825588
406,35534.36287349396
407,46252.471981059185
408,31180.65282566489
409,31661.29246114673
410,54960.674393248686
411,22367.7414541979
412,57512.97346316873
413,36203.39493837487
414,48429.567110600896
415,36093.55608584949
416,35391.33281165035
417,54267.1475678393
418,58882.169037804684
419,42641.75841893885
420,34981.00777119023
421,54237.66812727507
422,45484.19170181054
423,22181.940729972575
424,42641.75841893885
425,36053.94225952545
426,35693.1445462278
427,28938.1370405992
428,29377.665853635684
429,53289.19195068884
430,46773.18128264617
431,36251.948903659235
432,55643.04157526222
433,39831.231505612326
434,34793.26414397603
435,29044.515716199967
436,23787.434644663757
437,23714.940689184208
438,46065.09820282239
439,45571.262663990936
440,35534.36287349396
441,53229.4842934083
442,30806.517135899725
443,29091.835720583003
444,31900.721817100304
445,45940.3724221477
446,40307.97133840595
447,35075.63241709309
